RUN	learngatling.SetUpUserLoad	setupuserload	1549430798560	 	3.0.2
USER	SE1	1	START	1549430800145	1549430800145
USER	SE1	2	START	1549430800176	1549430800176
USER	SE2	4	START	1549430800179	1549430800179
USER	SE2	5	START	1549430800181	1549430800181
REQUEST	1		Homepage	1549430800169	1549430801176	OK	 
REQUEST	4		Homepage	1549430800181	1549430801302	OK	 
REQUEST	5		Homepage	1549430800182	1549430801311	OK	 
REQUEST	2		Homepage	1549430800176	1549430801549	OK	 
USER	SE1	3	START	1549430802178	1549430802178
USER	SE2	6	START	1549430803151	1549430803151
REQUEST	3		Homepage	1549430802178	1549430803167	OK	 
REQUEST	6		Homepage	1549430803152	1549430804031	OK	 
USER	SE1	7	START	1549430804148	1549430804148
REQUEST	7		Homepage	1549430804149	1549430805039	OK	 
USER	SE2	9	START	1549430806138	1549430806138
USER	SE1	8	START	1549430806138	1549430806138
REQUEST	9		Homepage	1549430806139	1549430807015	OK	 
REQUEST	8		Homepage	1549430806139	1549430807030	OK	 
USER	SE1	10	START	1549430808158	1549430808158
REQUEST	10		Homepage	1549430808158	1549430809024	OK	 
REQUEST	1		SearchFlight	1549430818989	1549430819232	OK	 
REQUEST	2		SearchFlight	1549430820693	1549430820927	OK	 
REQUEST	3		SearchFlight	1549430822024	1549430822261	OK	 
REQUEST	7		SearchFlight	1549430822698	1549430822985	OK	 
REQUEST	8		SearchFlight	1549430823010	1549430823289	OK	 
REQUEST	10		SearchFlight	1549430823200	1549430823431	OK	 
REQUEST	1		Homepage	1549430830683	1549430830912	OK	 
REQUEST	5		SearchFlight	1549430830970	1549430831205	OK	 
REQUEST	4		SearchFlight	1549430831222	1549430831465	OK	 
REQUEST	2		Homepage	1549430832393	1549430832662	OK	 
REQUEST	6		SearchFlight	1549430833603	1549430833840	OK	 
REQUEST	3		Homepage	1549430833744	1549430833994	OK	 
REQUEST	9		SearchFlight	1549430834240	1549430834476	OK	 
REQUEST	7		Homepage	1549430834451	1549430834675	OK	 
REQUEST	8		Homepage	1549430834738	1549430834988	OK	 
REQUEST	10		Homepage	1549430834882	1549430835109	OK	 
REQUEST	1		SearchFlight	1549430842350	1549430842589	OK	 
REQUEST	5		SelectFlight	1549430842658	1549430842893	OK	 
REQUEST	4		SelectFlight	1549430842911	1549430843140	OK	 
REQUEST	2		SearchFlight	1549430844141	1549430844437	OK	 
REQUEST	6		SelectFlight	1549430845294	1549430845529	OK	 
REQUEST	3		SearchFlight	1549430845450	1549430845708	OK	 
REQUEST	9		SelectFlight	1549430845909	1549430846137	OK	 
REQUEST	7		SearchFlight	1549430846110	1549430846348	OK	 
REQUEST	8		SearchFlight	1549430846502	1549430846809	OK	 
REQUEST	10		SearchFlight	1549430846565	1549430846810	OK	 
REQUEST	1		Homepage	1549430854031	1549430854258	OK	 
REQUEST	5		BookFlight	1549430854464	1549430855019	OK	 
REQUEST	4		BookFlight	1549430854598	1549430855153	OK	 
REQUEST	5		BookFlight Redirect 1	1549430855025	1549430855257	OK	 
REQUEST	4		BookFlight Redirect 1	1549430855153	1549430855386	OK	 
REQUEST	2		Homepage	1549430855883	1549430856132	OK	 
USER	SE2	5	END	1549430800181	1549430856708
USER	SE2	4	END	1549430800179	1549430856825
REQUEST	6		BookFlight	1549430857071	1549430857962	OK	 
REQUEST	3		Homepage	1549430857260	1549430857993	OK	 
REQUEST	9		BookFlight	1549430857677	1549430858403	OK	 
REQUEST	7		Homepage	1549430857884	1549430858411	OK	 
REQUEST	6		BookFlight Redirect 1	1549430857962	1549430858423	OK	 
REQUEST	10		Homepage	1549430858293	1549430858517	OK	 
REQUEST	9		BookFlight Redirect 1	1549430858405	1549430858640	OK	 
REQUEST	8		Homepage	1549430858484	1549430858725	OK	 
USER	SE2	6	END	1549430803151	1549430859868
USER	SE2	9	END	1549430806138	1549430860080
