RUN	myfirstpackage.SetUpUserLoadClosedSystem	setupuserloadclosedsystem	1549515822341	 	3.0.2
USER	SE1	1	START	1549515826281	1549515826281
USER	SE2	2	START	1549515827283	1549515827283
REQUEST	1		Homepage	1549515826334	1549515827716	OK	 
USER	SE1	3	START	1549515828285	1549515828285
REQUEST	2		Homepage	1549515827287	1549515828637	OK	 
USER	SE2	4	START	1549515829285	1549515829285
REQUEST	3		Homepage	1549515828286	1549515829708	OK	 
USER	SE1	5	START	1549515830283	1549515830283
REQUEST	4		Homepage	1549515829286	1549515830593	OK	 
REQUEST	5		Homepage	1549515830283	1549515831167	OK	 
USER	SE1	6	START	1549515831286	1549515831286
REQUEST	6		Homepage	1549515831287	1549515832160	OK	 
USER	SE2	7	START	1549515832276	1549515832276
REQUEST	7		Homepage	1549515832277	1549515833209	OK	 
USER	SE1	8	START	1549515833276	1549515833276
REQUEST	8		Homepage	1549515833277	1549515834255	OK	 
USER	SE2	9	START	1549515834283	1549515834283
USER	SE1	10	START	1549515835285	1549515835285
REQUEST	9		Homepage	1549515834284	1549515835510	OK	 
REQUEST	10		Homepage	1549515835286	1549515836589	OK	 
REQUEST	1		SearchFlight	1549515842306	1549515842863	OK	 
REQUEST	3		SearchFlight	1549515843882	1549515844212	OK	 
REQUEST	5		SearchFlight	1549515844576	1549515844837	OK	 
REQUEST	6		SearchFlight	1549515846586	1549515847132	OK	 
REQUEST	8		SearchFlight	1549515849312	1549515849622	OK	 
REQUEST	10		SearchFlight	1549515850973	1549515851238	OK	 
REQUEST	2		SearchFlight	1549515853782	1549515854129	OK	 
USER	SE1	1	END	1549515826281	1549515854421
USER	SE1	11	START	1549515854423	1549515854423
REQUEST	4		SearchFlight	1549515855011	1549515855302	OK	 
REQUEST	11		Homepage	1549515854424	1549515855870	OK	 
USER	SE1	3	END	1549515828285	1549515855943
USER	SE1	12	START	1549515855943	1549515855943
USER	SE1	5	END	1549515830283	1549515856282
USER	SE1	13	START	1549515856282	1549515856282
REQUEST	12		Homepage	1549515855943	1549515857243	OK	 
REQUEST	13		Homepage	1549515856283	1549515857650	OK	 
