RUN	learngatling.SetUpUserLoadOpensystem	setupuserloadopensystem	1549513399608	 	3.0.2
USER	SE1	1	START	1549513402367	1549513402367
USER	SE2	4	START	1549513402399	1549513402399
USER	SE2	5	START	1549513403382	1549513403382
USER	SE1	2	START	1549513403396	1549513403396
REQUEST	1		Homepage	1549513402394	1549513403511	OK	 
REQUEST	5		Homepage	1549513403383	1549513404289	OK	 
REQUEST	4		Homepage	1549513402401	1549513404289	OK	 
USER	SE2	6	START	1549513404378	1549513404378
USER	SE1	3	START	1549513404401	1549513404401
REQUEST	6		Homepage	1549513404380	1549513405279	OK	 
REQUEST	2		Homepage	1549513403397	1549513405379	OK	 
USER	SE2	8	START	1549513405381	1549513405381
USER	SE1	7	START	1549513405381	1549513405381
REQUEST	3		Homepage	1549513404401	1549513405420	OK	 
REQUEST	8		Homepage	1549513405384	1549513406261	OK	 
REQUEST	7		Homepage	1549513405384	1549513406269	OK	 
USER	SE2	10	START	1549513406367	1549513406367
USER	SE1	9	START	1549513406366	1549513406366
REQUEST	10		Homepage	1549513406370	1549513407290	OK	 
USER	SE1	11	START	1549513407371	1549513407371
USER	SE2	12	START	1549513407382	1549513407382
REQUEST	9		Homepage	1549513406370	1549513407388	OK	 
REQUEST	12		Homepage	1549513407383	1549513408366	OK	 
USER	SE1	13	START	1549513408368	1549513408368
USER	SE2	14	START	1549513408368	1549513408368
REQUEST	11		Homepage	1549513407372	1549513409044	OK	 
USER	SE2	16	START	1549513409370	1549513409370
USER	SE1	15	START	1549513409380	1549513409380
REQUEST	14		Homepage	1549513408373	1549513410150	OK	 
USER	SE2	18	START	1549513410367	1549513410367
USER	SE1	17	START	1549513410366	1549513410366
REQUEST	15		Homepage	1549513409382	1549513410504	OK	 
USER	SE2	20	START	1549513411369	1549513411369
USER	SE1	19	START	1549513411369	1549513411369
REQUEST	16		Homepage	1549513409372	1549513411971	OK	 
REQUEST	18		Homepage	1549513410368	1549513412132	OK	 
USER	SE2	22	START	1549513412367	1549513412367
USER	SE1	21	START	1549513412367	1549513412367
REQUEST	17		Homepage	1549513410368	1549513412570	OK	 
REQUEST	19		Homepage	1549513411371	1549513412590	OK	 
REQUEST	13		Homepage	1549513408371	1549513412891	OK	 
USER	SE1	23	START	1549513413377	1549513413377
USER	SE2	24	START	1549513413377	1549513413377
REQUEST	20		Homepage	1549513411371	1549513413401	OK	 
REQUEST	21		Homepage	1549513412368	1549513413674	OK	 
REQUEST	22		Homepage	1549513412368	1549513414238	OK	 
USER	SE1	25	START	1549513414377	1549513414377
USER	SE2	26	START	1549513414377	1549513414377
USER	SE2	28	START	1549513415377	1549513415377
USER	SE1	27	START	1549513415377	1549513415377
REQUEST	23		Homepage	1549513413378	1549513416094	OK	 
REQUEST	25		Homepage	1549513414378	1549513416276	OK	 
USER	SE1	29	START	1549513416382	1549513416382
USER	SE2	30	START	1549513416382	1549513416382
USER	SE1	31	START	1549513417359	1549513417359
USER	SE2	32	START	1549513417359	1549513417359
REQUEST	24		Homepage	1549513413379	1549513417610	OK	 
REQUEST	26		Homepage	1549513414379	1549513417965	OK	 
REQUEST	28		Homepage	1549513415379	1549513418015	OK	 
REQUEST	29		Homepage	1549513416383	1549513418168	OK	 
REQUEST	27		Homepage	1549513415379	1549513418206	OK	 
USER	SE1	33	START	1549513418367	1549513418367
USER	SE2	34	START	1549513418367	1549513418367
REQUEST	30		Homepage	1549513416384	1549513418788	OK	 
REQUEST	32		Homepage	1549513417361	1549513419082	OK	 
REQUEST	31		Homepage	1549513417361	1549513419355	OK	 
USER	SE1	35	START	1549513419381	1549513419381
USER	SE2	36	START	1549513419381	1549513419381
REQUEST	33		Homepage	1549513418368	1549513419400	OK	 
REQUEST	34		Homepage	1549513418368	1549513419471	OK	 
USER	SE1	37	START	1549513420367	1549513420367
USER	SE2	38	START	1549513420367	1549513420367
REQUEST	2		SearchFlight	1549513420632	1549513421296	OK	 
USER	SE1	39	START	1549513421377	1549513421377
USER	SE2	40	START	1549513421377	1549513421377
REQUEST	3		SearchFlight	1549513421660	1549513422038	OK	 
REQUEST	35		Homepage	1549513419383	1549513422078	OK	 
REQUEST	36		Homepage	1549513419383	1549513422107	OK	 
REQUEST	39		Homepage	1549513421379	1549513422365	OK	 
REQUEST	37		Homepage	1549513420369	1549513422449	OK	 
REQUEST	38		Homepage	1549513420369	1549513423874	OK	 
REQUEST	1		SearchFlight	1549513423721	1549513424090	OK	 
REQUEST	40		Homepage	1549513421379	1549513424149	OK	 
REQUEST	9		SearchFlight	1549513426564	1549513426984	OK	 
REQUEST	7		SearchFlight	1549513427639	1549513428037	OK	 
REQUEST	19		SearchFlight	1549513431761	1549513432251	OK	 
REQUEST	15		SearchFlight	1549513432138	1549513432433	OK	 
USER	SE1	2	END	1549513403396	1549513432866
REQUEST	5		SearchFlight	1549513433109	1549513433419	OK	 
USER	SE1	3	END	1549513404401	1549513433627
REQUEST	4		SearchFlight	1549513434887	1549513435186	OK	 
REQUEST	13		SearchFlight	1549513435179	1549513435484	OK	 
REQUEST	17		SearchFlight	1549513435257	1549513435541	OK	 
USER	SE1	1	END	1549513402367	1549513435651
REQUEST	21		SearchFlight	1549513435851	1549513436131	OK	 
REQUEST	10		SearchFlight	1549513436492	1549513436949	OK	 
REQUEST	23		SearchFlight	1549513436989	1549513437260	OK	 
REQUEST	6		SearchFlight	1549513437653	1549513437909	OK	 
REQUEST	29		SearchFlight	1549513438139	1549513438383	OK	 
USER	SE1	9	END	1549513406366	1549513438502
REQUEST	11		SearchFlight	1549513438527	1549513438819	OK	 
REQUEST	27		SearchFlight	1549513438737	1549513438979	OK	 
REQUEST	25		SearchFlight	1549513439210	1549513439472	OK	 
USER	SE1	7	END	1549513405381	1549513439600
REQUEST	31		SearchFlight	1549513439848	1549513440126	OK	 
REQUEST	33		SearchFlight	1549513440467	1549513440704	OK	 
REQUEST	37		SearchFlight	1549513441303	1549513441560	OK	 
REQUEST	39		SearchFlight	1549513441851	1549513442286	OK	 
REQUEST	35		SearchFlight	1549513443431	1549513443672	OK	 
USER	SE1	19	END	1549513411369	1549513443730
USER	SE1	15	END	1549513409380	1549513443951
REQUEST	5		SelectFlight	1549513444911	1549513445151	OK	 
REQUEST	14		SearchFlight	1549513445437	1549513445668	OK	 
REQUEST	8		SearchFlight	1549513445411	1549513445964	OK	 
REQUEST	12		SearchFlight	1549513445657	1549513446268	OK	 
USER	SE1	13	END	1549513408368	1549513446980
REQUEST	18		SearchFlight	1549513446541	1549513446988	OK	 
USER	SE1	17	END	1549513410366	1549513446991
REQUEST	30		SearchFlight	1549513446991	1549513447275	OK	 
REQUEST	4		SelectFlight	1549513446679	1549513447271	OK	 
REQUEST	20		SearchFlight	1549513447279	1549513447575	OK	 
USER	SE1	21	END	1549513412367	1549513447599
USER	SE1	23	END	1549513413377	1549513448707
REQUEST	10		SelectFlight	1549513448469	1549513448715	OK	 
REQUEST	16		SearchFlight	1549513448869	1549513449107	OK	 
USER	SE1	29	END	1549513416382	1549513449837
REQUEST	34		SearchFlight	1549513449738	1549513449976	OK	 
REQUEST	6		SelectFlight	1549513449838	1549513450073	OK	 
USER	SE1	11	END	1549513407371	1549513450390
USER	SE1	27	END	1549513415377	1549513450427
USER	SE1	25	END	1549513414377	1549513450917
REQUEST	26		SearchFlight	1549513451209	1549513451454	OK	 
USER	SE1	31	END	1549513417359	1549513451607
REQUEST	28		SearchFlight	1549513451417	1549513451658	OK	 
USER	SE1	33	END	1549513418367	1549513452282
USER	SE1	37	END	1549513420367	1549513453087
REQUEST	32		SearchFlight	1549513453097	1549513453338	OK	 
REQUEST	38		SearchFlight	1549513453341	1549513453586	OK	 
USER	SE1	39	END	1549513421377	1549513453797
REQUEST	36		SearchFlight	1549513453581	1549513453822	OK	 
REQUEST	40		SearchFlight	1549513454420	1549513454657	OK	 
USER	SE1	35	END	1549513419381	1549513455126
REQUEST	24		SearchFlight	1549513455013	1549513455283	OK	 
REQUEST	5		BookFlight	1549513456701	1549513457224	OK	 
REQUEST	5		BookFlight Redirect 1	1549513457241	1549513457498	OK	 
REQUEST	14		SelectFlight	1549513457270	1549513457500	OK	 
REQUEST	8		SelectFlight	1549513457493	1549513457780	OK	 
REQUEST	12		SelectFlight	1549513457801	1549513458049	OK	 
REQUEST	18		SelectFlight	1549513458497	1549513458750	OK	 
REQUEST	30		SelectFlight	1549513458717	1549513458968	OK	 
REQUEST	4		BookFlight	1549513458723	1549513459171	OK	 
USER	SE2	5	END	1549513403382	1549513459174
REQUEST	20		SelectFlight	1549513459007	1549513459267	OK	 
REQUEST	4		BookFlight Redirect 1	1549513459174	1549513459415	OK	 
REQUEST	10		BookFlight	1549513460162	1549513460525	OK	 
REQUEST	10		BookFlight Redirect 1	1549513460526	1549513460763	OK	 
USER	SE2	4	END	1549513402399	1549513460863
REQUEST	16		SelectFlight	1549513460668	1549513460913	OK	 
REQUEST	34		SelectFlight	1549513461399	1549513461646	OK	 
REQUEST	6		BookFlight	1549513461525	1549513461936	OK	 
REQUEST	6		BookFlight Redirect 1	1549513461938	1549513462172	OK	 
USER	SE2	10	END	1549513406367	1549513462194
REQUEST	22		SearchFlight	1549513462208	1549513462652	OK	 
REQUEST	26		SelectFlight	1549513462899	1549513463134	OK	 
REQUEST	28		SelectFlight	1549513463109	1549513463370	OK	 
USER	SE2	6	END	1549513404378	1549513463595
REQUEST	32		SelectFlight	1549513464802	1549513465063	OK	 
REQUEST	38		SelectFlight	1549513465059	1549513465294	OK	 
REQUEST	36		SelectFlight	1549513465279	1549513465520	OK	 
REQUEST	40		SelectFlight	1549513466099	1549513466332	OK	 
REQUEST	24		SelectFlight	1549513466778	1549513467213	OK	 
REQUEST	14		BookFlight	1549513469182	1549513469914	OK	 
REQUEST	8		BookFlight	1549513469260	1549513470419	OK	 
REQUEST	12		BookFlight	1549513469584	1549513470578	OK	 
REQUEST	14		BookFlight Redirect 1	1549513469915	1549513470593	OK	 
REQUEST	8		BookFlight Redirect 1	1549513470420	1549513470646	OK	 
REQUEST	18		BookFlight	1549513470415	1549513470876	OK	 
REQUEST	30		BookFlight	1549513470520	1549513471151	OK	 
REQUEST	12		BookFlight Redirect 1	1549513470579	1549513471153	OK	 
REQUEST	20		BookFlight	1549513470720	1549513471207	OK	 
REQUEST	18		BookFlight Redirect 1	1549513470878	1549513471221	OK	 
REQUEST	20		BookFlight Redirect 1	1549513471208	1549513471461	OK	 
REQUEST	30		BookFlight Redirect 1	1549513471152	1549513471461	OK	 
USER	SE2	14	END	1549513408368	1549513472370
USER	SE2	8	END	1549513405381	1549513472382
REQUEST	16		BookFlight	1549513472355	1549513473097	OK	 
USER	SE2	18	END	1549513410367	1549513473099
USER	SE2	12	END	1549513407382	1549513473100
USER	SE2	30	END	1549513416382	1549513473100
USER	SE2	20	END	1549513411369	1549513473100
REQUEST	16		BookFlight Redirect 1	1549513473099	1549513473327	OK	 
REQUEST	34		BookFlight	1549513473169	1549513473827	OK	 
REQUEST	34		BookFlight Redirect 1	1549513473828	1549513474057	OK	 
REQUEST	22		SelectFlight	1549513474180	1549513474408	OK	 
REQUEST	26		BookFlight	1549513474600	1549513475042	OK	 
REQUEST	28		BookFlight	1549513474811	1549513475292	OK	 
REQUEST	26		BookFlight Redirect 1	1549513475044	1549513475292	OK	 
USER	SE2	16	END	1549513409370	1549513475293
REQUEST	28		BookFlight Redirect 1	1549513475293	1549513475557	OK	 
USER	SE2	34	END	1549513418367	1549513475559
REQUEST	32		BookFlight	1549513476524	1549513476867	OK	 
USER	SE2	26	END	1549513414377	1549513476869
REQUEST	38		BookFlight	1549513476749	1549513477096	OK	 
USER	SE2	28	END	1549513415377	1549513477098
REQUEST	32		BookFlight Redirect 1	1549513476869	1549513477117	OK	 
REQUEST	38		BookFlight Redirect 1	1549513477097	1549513477327	OK	 
REQUEST	36		BookFlight	1549513477211	1549513477898	OK	 
REQUEST	36		BookFlight Redirect 1	1549513477899	1549513478627	OK	 
REQUEST	40		BookFlight	1549513477874	1549513478627	OK	 
USER	SE2	32	END	1549513417359	1549513478630
REQUEST	40		BookFlight Redirect 1	1549513478629	1549513478914	OK	 
USER	SE2	38	END	1549513420367	1549513479251
REQUEST	24		BookFlight	1549513478709	1549513479250	OK	 
REQUEST	24		BookFlight Redirect 1	1549513479252	1549513479537	OK	 
USER	SE2	36	END	1549513419381	1549513480164
USER	SE2	40	END	1549513421377	1549513480448
USER	SE2	24	END	1549513413377	1549513481086
REQUEST	22		BookFlight	1549513485869	1549513486307	OK	 
REQUEST	22		BookFlight Redirect 1	1549513486309	1549513486614	OK	 
